sessions,eventcount,totalusers,conversions,property_id,totalrevenue,sessionmedium,engagementrate,engagedsessions,eventspersession,userengagementduration,date
4,56,4,0,353783484,0,(not set),0,0,14,769,31/07/23
114,1069,101,0,353783484,0,cpc,0.710526316,81,9.377192982,10953,31/07/23
498,3350,448,0,353783484,0,organic,0.682730924,340,6.726907631,41904,31/07/23
5,15,5,0,353783484,0,Pinpoint,0,0,3,0,31/07/23
15,56,12,0,353783484,0,referral,0.6,9,3.733333333,126,31/07/23
68,394,60,0,353783484,0,(none),0.602941176,41,5.794117647,4037,01/08/23
110,1034,96,0,353783484,0,cpc,0.727272727,80,9.4,9076,01/08/23
426,2777,388,0,353783484,0,organic,0.659624413,281,6.518779343,27594,01/08/23
29,87,29,0,353783484,0,Pinpoint,0,0,3,0,01/08/23
17,91,15,0,353783484,0,referral,0.352941176,6,5.352941176,435,01/08/23
2,8,2,0,353783484,0,YouTubeVideo,0,0,4,2,01/08/23
56,375,52,0,353783484,0,(none),0.607142857,34,6.696428571,1899,02/08/23
3,5,3,0,353783484,0,(not set),0,0,1.666666667,54,02/08/23
103,1068,93,0,353783484,0,cpc,0.815533981,84,10.36893204,13068,02/08/23
420,2471,384,0,353783484,0,organic,0.626190476,263,5.883333333,27164,02/08/23
24,77,24,0,353783484,0,Pinpoint,0.041666667,1,3.208333333,50,02/08/23
8,25,7,0,353783484,0,referral,0.125,1,3.125,11,02/08/23
51,300,45,0,353783484,0,(none),0.490196078,25,5.882352941,1568,03/08/23
2,10,2,0,353783484,0,(not set),0,0,5,306,03/08/23
105,1011,95,0,353783484,0,cpc,0.752380952,79,9.628571429,10284,03/08/23
436,2538,392,0,353783484,0,organic,0.616972477,269,5.821100917,29677,03/08/23
4,14,4,0,353783484,0,Pinpoint,0.25,1,3.5,1,03/08/23
8,79,8,0,353783484,0,referral,0.375,3,9.875,427,03/08/23
48,307,44,0,353783484,0,(none),0.666666667,32,6.395833333,2368,04/08/23
1,3,1,0,353783484,0,(not set),0,0,3,16,04/08/23
