sessions,eventcount,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,eventspersession,sessioncampaignname,userengagementduration,date
36,213,33,0,353783484,0,0.638888889,23,5.916666667,(direct),1296,17/08/23
2,4,2,0,353783484,0,0,0,2,(not set),19,17/08/23
330,1668,300,0,353783484,0,0.593939394,196,5.054545455,(organic),20054,17/08/23
20,67,20,0,353783484,0,0.3,6,3.35,(referral),366,17/08/23
2,33,2,0,353783484,0,1,2,16.5,DSA_Laminate Flooring,182,17/08/23
9,56,8,0,353783484,0,0.777777778,7,6.222222222,DSA_Search,252,17/08/23
6,20,6,0,353783484,0,0.166666667,1,3.333333333,FBAd,231,17/08/23
34,341,26,0,353783484,0,0.617647059,21,10.02941177,Geo Fencing | June 2023,2511,17/08/23
74,651,64,0,353783484,0,0.648648649,48,8.797297297,GTA Search,7688,17/08/23
8,39,8,0,353783484,0,0.625,5,4.875,Laminate Flooring - GTA,115,17/08/23
51,361,47,0,353783484,0,0.411764706,21,7.078431373,(direct),4211,18/08/23
4,23,4,0,353783484,0,0,0,5.75,(not set),443,18/08/23
400,2216,361,0,353783484,0,0.6125,245,5.54,(organic),23625,18/08/23
24,87,21,0,353783484,0,0.208333333,5,3.625,(referral),283,18/08/23
2,11,2,0,353783484,0,1,2,5.5,DSA_Laminate Flooring,367,18/08/23
6,33,6,0,353783484,0,0.666666667,4,5.5,DSA_Search,291,18/08/23
6,18,6,0,353783484,0,0,0,3,FBAd,0,18/08/23
37,356,27,0,353783484,0,0.621621622,23,9.621621622,Geo Fencing | June 2023,2475,18/08/23
66,691,62,0,353783484,0,0.772727273,51,10.46969697,GTA Search,5595,18/08/23
8,69,7,0,353783484,0,0.75,6,8.625,Laminate Flooring - GTA,794,18/08/23
42,211,34,0,353783484,0,0.523809524,22,5.023809524,(direct),2952,19/08/23
3,8,3,0,353783484,0,0,0,2.666666667,(not set),11,19/08/23
323,1699,307,0,353783484,0,0.653250774,211,5.26006192,(organic),19262,19/08/23
17,86,17,0,353783484,0,0.235294118,4,5.058823529,(referral),435,19/08/23
3,10,2,0,353783484,0,0,0,3.333333333,DSA_Laminate Flooring,8,19/08/23
4,23,4,0,353783484,0,1,4,5.75,DSA_Search,171,19/08/23
