sessions,eventcount,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,eventspersession,userengagementduration,sessiondefaultchannelgrouping,date
23,130,20,0,353783484,0,0.565217391,13,5.652173913,2302,Direct,03/09/23
329,1649,315,0,353783484,0,0.653495441,215,5.012158055,20677,Organic Search,03/09/23
16,75,16,0,353783484,0,0.3125,5,4.6875,364,Organic Social,03/09/23
1,10,1,0,353783484,0,1,1,10,223,Organic Video,03/09/23
43,429,39,0,353783484,0,0.837209302,36,9.976744186,5423,Paid Search,03/09/23
3,4,3,0,353783484,0,0,0,1.333333333,99,Unassigned,03/09/23
20,356,18,0,353783484,0,0.75,15,17.8,4304,Cross-network,04/09/23
27,332,25,0,353783484,0,0.444444444,12,12.2962963,1705,Direct,04/09/23
406,2165,382,0,353783484,0,0.665024631,270,5.332512315,25320,Organic Search,04/09/23
15,48,15,0,353783484,0,0.066666667,1,3.2,42,Organic Social,04/09/23
108,1091,95,0,353783484,0,0.777777778,84,10.10185185,12680,Paid Search,04/09/23
13,37,13,0,353783484,0,0,0,2.846153846,177,Unassigned,04/09/23
46,502,35,0,353783484,0,0.652173913,30,10.91304348,4384,Cross-network,05/09/23
64,506,48,0,353783484,0,0.625,40,7.90625,3001,Direct,05/09/23
431,2326,401,0,353783484,0,0.705336427,304,5.39675174,26888,Organic Search,05/09/23
14,81,14,0,353783484,0,0.142857143,2,5.785714286,452,Organic Social,05/09/23
127,1172,108,0,353783484,0,0.692913386,88,9.228346457,11587,Paid Search,05/09/23
3,10,1,0,353783484,0,0.666666667,2,3.333333333,21,Referral,05/09/23
6,16,6,0,353783484,0,0,0,2.666666667,313,Unassigned,05/09/23
36,533,32,0,353783484,0,0.75,27,14.80555556,6299,Cross-network,06/09/23
75,495,59,0,353783484,0,0.56,42,6.6,4120,Direct,06/09/23
410,2081,382,0,353783484,0,0.631707317,259,5.075609756,24174,Organic Search,06/09/23
11,36,11,0,353783484,0,0.090909091,1,3.272727273,8,Organic Social,06/09/23
93,706,90,0,353783484,0,0.741935484,69,7.591397849,6527,Paid Search,06/09/23
4,12,4,0,353783484,0,0,0,3,0,Unassigned,06/09/23
33,240,21,0,353783484,0,0.606060606,20,7.272727273,1710,Cross-network,07/09/23
56,257,45,0,353783484,0,0.464285714,26,4.589285714,2086,Direct,07/09/23
415,2466,389,0,353783484,0,0.686746988,285,5.942168675,33585,Organic Search,07/09/23
13,50,13,0,353783484,0,0.230769231,3,3.846153846,84,Organic Social,07/09/23
113,1089,102,0,353783484,0,0.716814159,81,9.637168142,13066,Paid Search,07/09/23
1,4,1,0,353783484,0,1,1,4,16,Referral,07/09/23
